time,ax,ay,az,gx,gy,gz
0.1,1.08,9.7,0.94,-1.82,0.36,-2.52
0.2,1.08,9.7,0.94,-7.82,2.52,-22.37
0.3,1.08,9.7,0.94,-7.82,2.52,-22.37
0.4,1.08,9.7,0.94,-7.82,2.52,-22.37
0.5,1.08,9.7,0.94,-7.97,2.22,-22.07
0.6,1.08,9.7,0.94,-7.97,2.22,-22.07
0.7,1.08,9.7,0.94,-8.46,1.88,-21.79
0.8,1.08,9.7,0.94,-8.46,1.88,-21.79
0.9,1.08,9.7,0.94,-8.64,1.45,-21.46
1,1.08,9.7,0.94,-8.64,1.45,-21.46
1.1,1.08,9.7,0.94,-8.78,1.12,-21.14
1.2,1.08,9.7,0.94,-8.78,1.12,-21.14
1.3,1.08,9.7,0.94,-8.92,0.9,-20.93
1.4,1.08,9.7,0.94,-8.92,0.9,-20.93
1.5,1.08,9.7,0.94,-9.49,0.47,-20.91
1.6,1.08,9.7,0.94,-9.49,0.47,-20.91
1.7,1.08,9.7,0.94,-9.28,0.28,-20.81
1.8,1.08,9.7,0.94,-9.28,0.28,-20.81
1.9,1.08,9.7,0.94,-9.3,-0.11,-20.65
2,1.08,9.7,0.94,-9.3,-0.11,-20.65
2.1,1.08,9.7,0.94,-9.55,-0.46,-20.44
2.2,1.08,9.7,0.94,-9.55,-0.46,-20.44
2.3,1.08,9.7,0.94,-9.55,-0.46,-20.44
2.4,1.08,9.7,0.94,-9.6,-0.86,-20.45
2.5,1.08,9.7,0.94,-9.6,-0.86,-20.45
2.6,1.08,9.7,0.94,-9.65,-0.89,-20.16
2.7,1.08,9.7,0.94,-9.65,-0.89,-20.16
2.8,1.08,9.7,0.94,-9.73,-1.08,-20.13
2.9,118.47,52.85,-74.37,-9.73,-1.08,-20.13
3,118.47,52.85,-74.37,-10.09,-1.49,-19.91
3.1,118.47,52.85,-74.37,-10.09,-1.49,-19.91
3.2,118.47,52.85,-74.37,-9.88,-1.65,-19.35
3.3,118.47,52.85,-74.37,-9.88,-1.65,-19.35
3.4,118.47,52.85,-74.37,-10.02,-2.01,-19.34
3.5,118.47,52.85,-74.37,-10.02,-2.01,-19.34
3.6,118.47,52.85,-74.37,-10.04,-2.1,-19.13
3.7,118.47,52.85,-74.37,-10.04,-2.1,-19.13
3.8,118.47,52.85,-74.37,-10.12,-2.29,-19.05
3.9,118.47,52.85,-74.37,-10.12,-2.29,-19.05
4,118.47,52.85,-74.37,-10.1,-2.55,-18.98
4.1,118.47,52.85,-74.37,-10.1,-2.55,-18.98
4.2,118.47,52.85,-74.37,-10.1,-2.55,-18.98
4.3,118.47,52.85,-74.37,-3.36,-4.38,-19.82
4.4,118.47,52.85,-74.37,-3.36,-4.38,-19.82
4.5,118.47,52.85,-74.37,-3.52,-4.4,-19.63
4.6,118.47,52.85,-74.37,-3.52,-4.4,-19.63
4.7,118.47,52.85,-74.37,-3.07,-4.4,-19.74
4.8,118.47,52.85,-74.37,-3.07,-4.4,-19.74
4.9,118.47,52.85,-74.37,-3.5,-4.51,-19.36
5,118.47,52.85,-74.37,-3.5,-4.51,-19.36
5.1,118.47,52.85,-74.37,-3.45,-4.44,-19.08
5.2,118.47,52.85,-74.37,-3.45,-4.44,-19.08
5.3,118.47,52.85,-74.37,-3.54,-4.32,-18.79
5.4,118.47,52.85,-74.37,-3.54,-4.32,-18.79
5.5,118.47,52.85,-74.37,-6.27,-3.75,-18.6
5.6,118.47,52.85,-74.37,-6.27,-3.75,-18.6
5.7,118.47,52.85,-74.37,-4.12,-4.26,-17.98
5.8,118.47,52.85,-74.37,-4.12,-4.26,-17.98
5.9,118.47,52.85,-74.37,-0.53,-2.78,-10.04
6,118.47,52.85,-74.37,-0.53,-2.78,-10.04
6.1,7.66,-4.56,4.56,-0.53,-2.78,-10.04
6.2,7.66,-4.56,4.56,-1.03,1.81,-2.98
6.3,7.66,-4.56,4.56,-1.03,1.81,-2.98
6.4,7.66,-4.56,4.56,-1.91,1.73,-2.45
6.5,7.66,-4.56,4.56,-1.91,1.73,-2.45
6.6,7.66,-4.56,4.56,-1.68,1.81,-2.42
6.7,7.66,-4.56,4.56,-1.68,1.81,-2.42
6.8,7.66,-4.56,4.56,-1.53,1.94,-2.26
6.9,7.66,-4.56,4.56,-1.53,1.94,-2.26
7,7.66,-4.56,4.56,-1.53,2.06,-2.01
7.1,7.66,-4.56,4.56,-1.53,2.06,-2.01
7.2,7.66,-4.56,4.56,-1.69,2.05,-1.76
7.3,7.66,-4.56,4.56,-1.69,2.05,-1.76
7.4,7.66,-4.56,4.56,-1.75,1.94,-1.56
7.5,7.66,-4.56,4.56,-1.75,1.94,-1.56
7.6,7.66,-4.56,4.56,-1.78,1.77,-1.33
7.7,7.66,-4.56,4.56,-1.78,1.77,-1.33
7.8,7.66,-4.56,4.56,-1.76,1.59,-1.27
7.9,7.66,-4.56,4.56,-1.76,1.59,-1.27
8,7.66,-4.56,4.56,-1.76,1.59,-1.27
8.1,7.66,-4.56,4.56,-1.89,1.09,-1.36
8.2,7.66,-4.56,4.56,-1.89,1.09,-1.36
8.3,7.66,-4.56,4.56,-1.8,0.85,-1.34
8.4,7.66,-4.56,4.56,-1.8,0.85,-1.34
8.5,7.66,-4.56,4.56,-1.64,0.67,-1.38
8.6,7.66,-4.56,4.56,-1.64,0.67,-1.38
8.7,7.66,-4.56,4.56,-1.4,0.57,-1.45
8.8,7.66,-4.56,4.56,-1.4,0.57,-1.45
8.9,7.66,-4.56,4.56,-0.32,-0.56,0.24
9,7.66,-4.56,4.56,-0.32,-0.56,0.24
9.1,7.66,-4.56,4.56,-0.04,-0.62,0.26
9.2,8.28,2.34,5.23,-0.04,-0.62,0.26
9.3,8.28,2.34,5.23,0.08,-0.57,0.1
9.4,8.28,2.34,5.23,0.08,-0.57,0.1
9.5,8.28,2.34,5.23,0.19,-0.58,-0.11
9.6,8.28,2.34,5.23,0.19,-0.58,-0.11
9.7,8.28,2.34,5.23,0.24,-0.56,-0.27
9.8,8.28,2.34,5.23,0.24,-0.56,-0.27
9.9,8.28,2.34,5.23,0.26,-0.54,-0.45
